domain,bot_bucket,chat_class,vendor,quotable_line
chapeldown.com,NO BOT,blocked-not-probed,,
character.com,NO BOT,no-chat-widget,,
charbonnel.co.uk,NO BOT,not-probed,,
charlesowen.com,NO BOT,no-chat-widget,,
charleston.org.uk,NO BOT,not-probed,,
cheapasprints.com,NO BOT,not-probed,,
cheerleading.org.uk,NO BOT,not-probed,,
cheltenhamtrust.org.uk,NO BOT,not-probed,,
chesneys.co.uk,NO BOT,not-probed,,
chesterfield-fc.co.uk,NO BOT,not-probed,,
chiabia.com,NO BOT,not-probed,,
chichiclothing.com,NO BOT,no-chat-widget,,
chickenhousebooks.com,NO BOT,not-probed,,
chiddingstonecastle.org.uk,NO BOT,not-probed,,
chiquesport.com,BUTTONS BOT,menu-only-no-freetext,Tidio,
chiselandmouse.com,NO BOT,no-chat-widget,,
chlobo.co.uk,NO BOT,no-chat-widget,,
choicediscount.com,NO BOT,not-probed,,
chord.co.uk,NO BOT,not-probed,,
cinnamon.org.uk,NO BOT,not-probed,,
circularandco.com,NO BOT,not-probed,,
citizensofsoil.com,NO BOT,no-chat-widget,,
clafabrications.co.uk,NO BOT,other-reply,LiveChat,One of our representatives will be with you shortly. Please note that our opening hours are between 8am - 5pm on weekdays. Please email Matt@clafabrications.co.uk who will be happy to assist with your project if our agents are offline. One of our representatives will be with you shortly. Please note that our opening hours are between 8am - 5pm on weekdays. Please email Matt@clafabrications.co.uk who will be happy to assist with your project if our agents are offline.
clarendonfineart.com,NO BOT,no-chat-widget,,
clearspring.co.uk,BUTTONS BOT,menu-only-no-freetext,,
cleens.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
climate-wise.com,NO BOT,not-probed,,
clothes-doctor.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
cloudappreciationsociety.org,NO BOT,no-chat-widget,,
cloudninehair.com,NO BOT,no-chat-widget,,
cloudwaterbrew.co,NO BOT,blocked-not-probed,,
club-vino.co.uk,NO BOT,not-probed,,
clubllondon.com,BUTTONS BOT,menu-only-no-freetext,DigitalGenius;Dixa,
coatpaints.com,TEXT BOT,ai-lookup-login-gated,Gorgias,I can help with that. Please log in so we can look up your order details and check the latest status for you. Verify order details
cocoacanopy.co.uk,NO BOT,no-chat-widget,,
cocoarunners.com,NO BOT,no-chat-widget,,
coconut-merchant.com,BUTTONS BOT,menu-only-no-freetext,,
coconutco.co.uk,NO BOT,not-probed,,
coffeelink.com,NO BOT,no-chat-widget,,
cohenschemist.co.uk,NO BOT,not-probed,,
cole-and-son.com,BUTTONS BOT,menu-only-no-freetext,Zendesk,
colebuxton.com,NO BOT,no-chat-widget,,
communityclothing.co.uk,NO BOT,no-chat-widget,,
compassboxwhisky.com,NO BOT,blocked-not-probed,,
completeconnect.co.uk,NO BOT,not-probed,,
condimaniac.com,NO BOT,no-chat-widget,,
condorcycles.com,BUTTONS BOT,menu-only-no-freetext,Help Scout,
conkerspirit.co.uk,NO BOT,not-probed,,
consciousspaces.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
conservationresources.com,NO BOT,not-probed,,
consortfrozenfoods.co.uk,NO BOT,not-probed,,
coolersomm.com,NO BOT,no-chat-widget,Tidio,
cooplands-bakery.co.uk,NO BOT,not-probed,,
copelanddistillery.com,NO BOT,not-probed,,
coppicegc.com,NO BOT,not-probed,,
coptrz.com,NO BOT,not-probed,,
corelp.co.uk,NO BOT,no-chat-widget,,
cornishseasalt.co.uk,NO BOT,no-chat-widget,,
cosmicdrifters.com,NO BOT,not-probed,,
cotswoldsdistillery.com,NO BOT,blocked-not-probed,,
cottagedelight.co.uk,NO BOT,not-probed,,
coucouintimates.com,NO BOT,blocked-not-probed,,
coynemedical.com,NO BOT,not-probed,,
cpccares.com,NO BOT,not-probed,,
cranbourn.com,NO BOT,no-chat-widget,,
criticalpowersupplies.co.uk,NO BOT,not-probed,,
crowncouture.co.uk,NO BOT,not-probed,,
crownhotel-bawtry.com,NO BOT,not-probed,,
crowood.com,NO BOT,not-probed,,
crumbsanddoilies.co.uk,BUTTONS BOT,menu-only-no-freetext,,
crystalparade.co.uk,NO BOT,no-chat-widget,Tidio,
ctsironmongery.co.uk,NO BOT,not-probed,,
cubitts.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
cultfurniture.com,NO BOT,no-chat-widget,Gorgias,
cultkits.com,NO BOT,no-chat-widget,Tidio,
cultmia.com,BUTTONS BOT,menu-only-no-freetext,Freshchat,
cumbriacrystal.com,NO BOT,no-chat-widget,,
currentbody.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
curvykate.com,NO BOT,blocked-not-probed,,
cutlerandgross.com,NO BOT,no-chat-widget,,
cutterandsquidge.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry you’re having trouble tracking your order. To check this properly, please log in so we can access your order details and help with the latest status. Verify order details"
cyclinguk.org,NO BOT,not-probed,,
daks.com,NO BOT,no-chat-widget,,
damsonmadder.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,We will get back to you within 24 hours Mon-Fri Returns & Exchanges How
dandrfurnishers.co.uk,NO BOT,not-probed,,
danielladraper.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
dartscorner.co.uk,TEXT BOT,broken-ai-error,Zendesk,Take a look at this article
dash-water.com,TEXT BOT,canned-wait-time,Gorgias,Typically replies in a few minutes DASH Water Bot T
dashaesthetics.co.uk,NO BOT,not-probed,,
davidmorris.com,NO BOT,not-probed,,
davidsonlondon.com,NO BOT,not-probed,,
daylightcompany.com,NO BOT,not-probed,,
daytona.co.uk,NO BOT,not-probed,,
dcrs.co.uk,NO BOT,not-probed,,
debretts.com,NO BOT,not-probed,,
deliciouslyella.com,NO BOT,not-probed,,
delli.market,NO BOT,no-chat-widget,,
demellierlondon.com,NO BOT,other-reply,Answer AI,"Hi! I'm DeMellier's AI Assistant. How can I help you today? It looks like you want to get an update on the status of your order, is that right? YesNo"
denmanbrush.com,TEXT BOT,asks-for-order-details,Re:amaze,"· Sent I'd love to help you track down your order! 🎉 To look up your order status, I'll need two pieces of information: Your email address (the one you used when placing the order) Your order ID or order number Once you provide those, I can get you all the details including tracking information! Álainn · 1:05 pm · Appreciate Thank You!"
derek-rose.com,BUTTONS BOT,email-gate-to-human,Gorgias,"To help us, please enter your email , Automated · Just now"
dermoi.com,NO BOT,not-probed,,
desmondanddempsey.com,NO BOT,other-reply,Dixa;Richpanel,"Conversation D Thanks for reaching out! How can we help? Other D Thanks so much for your patience, we'll connect you to the next available agent as soon as we can! Waiting for an agent to join"
desser.co.uk,NO BOT,no-chat-widget,,
dfyne.com,NO BOT,no-chat-widget,,
dhillonsbrewery.com,NO BOT,not-probed,,
dickensmuseum.com,NO BOT,blocked-not-probed,,
dicks-edinburgh.co.uk,BUTTONS BOT,menu-only-no-freetext,,
dignitypetcrem.co.uk,NO BOT,not-probed,,
discworldemporium.com,NO BOT,not-probed,,
dishoom.com,NO BOT,not-probed,,
displaycentre.co.uk,NO BOT,not-probed,,
distinctivewash.co.uk,NO BOT,not-probed,,
divinechocolate.com,NO BOT,no-chat-widget,,
diybuildingsupplies.co.uk,NO BOT,no-chat-widget,,
doubledutchdrinks.com,NO BOT,no-chat-widget,,
doughlicious.co.uk,NO BOT,not-probed,,
doulton.com,BUTTONS BOT,menu-only-no-freetext,Tawk.to,
downs-syndrome.org.uk,NO BOT,not-probed,,
dowsingandreynolds.com,NO BOT,not-probed,,
dragonforce.com,NO BOT,not-probed,,
dressmezee.com,TEXT BOT,ai-lookup-login-gated,Gorgias,Hi! I can help with that 👍 Please log in so we can check your latest order and tracking for you. Verify order details
drink-trip.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
drinkhippop.com,NO BOT,no-chat-widget,Gorgias,
drinkwelluk.com,NO BOT,no-chat-widget,,
drivetechltd.co.uk,NO BOT,not-probed,,
droix.co.uk,NO BOT,not-probed,,
drool-art.com,NO BOT,no-chat-widget,Gorgias,
drpawpaw.com,NO BOT,no-chat-widget,Tidio,
drsambunting.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
drummonds-uk.com,NO BOT,no-chat-widget,,
drvegan.com,NO BOT,no-chat-widget,,
drydrinker.com,NO BOT,no-chat-widget,,
dryrobe.com,BUTTONS BOT,menu-only-no-freetext,,
dsrcv.com,BUTTONS BOT,menu-only-no-freetext,,
dualit.com,NO BOT,no-chat-widget,,
dubarry.com,NO BOT,no-chat-widget,,
duckanddry.com,NO BOT,blocked-not-probed,,
dukeanddexter.com,NO BOT,no-chat-widget,Gorgias,
duracomposites.com,NO BOT,no-chat-widget,,
dusk.com,NO BOT,no-chat-widget,,
e-bikesdirect.co.uk,NO BOT,not-probed,,
e-rides.com,NO BOT,not-probed,,
eachmoment.co.uk,NO BOT,not-probed,,
eaglebrae.co.uk,NO BOT,not-probed,,
eaglesecuritysolutions.co.uk,NO BOT,no-chat-widget,,
earlyrider.com,NO BOT,no-chat-widget,,
earthlink.net,NO BOT,not-probed,,
easilocks.com,NO BOT,no-chat-widget,,
easygates.co.uk,NO BOT,not-probed,,
eatsurreal.co.uk,NO BOT,no-chat-widget,,
ecl-ips.com,NO BOT,not-probed,,
eco-vape.co.uk,NO BOT,blocked-not-probed,,
ecoair.org,NO BOT,no-chat-widget,,
ecoffeecup.com,NO BOT,not-probed,,
ecompositeproducts.co.uk,NO BOT,not-probed,,
edenmill.com,NO BOT,no-chat-widget,,
edgeofember.com,NO BOT,no-chat-widget,Gorgias,
edwardbulmerpaint.co.uk,NO BOT,not-probed,,
ehlers-danlos.org,BUTTONS BOT,menu-only-no-freetext,,
eleatcereal.com,NO BOT,no-chat-widget,Gorgias,
electrical4less.co.uk,NO BOT,not-probed,,
electroheads.com,NO BOT,no-chat-widget,,
elifesciences.org,NO BOT,not-probed,,
eliteprosports.co.uk,NO BOT,not-probed,,
elizabeth-foundation.org,NO BOT,not-probed,,
elizabethbradley.com,NO BOT,no-chat-widget,,
elizabethscarlett.com,NO BOT,no-chat-widget,Gorgias,
elliesanderson.co.uk,NO BOT,not-probed,,
elliotrhodes.com,NO BOT,no-chat-widget,,
elnlondon.com,NO BOT,no-chat-widget,,
eloise.co.uk,NO BOT,not-probed,,
elvdenim.com,NO BOT,no-chat-widget,,
embarkvet.com,NO BOT,not-probed,,
embersnacks.com,NO BOT,no-chat-widget,,
emiliawickstead.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Thank you for your message and your time. We would be delighted to help with your order update. Please log in so we can access your order details, and we will be happy to provide the latest status for you. Verify order details"
emmabridgewater.co.uk,BUTTONS BOT,menu-only-no-freetext,,
emmajshipley.com,BUTTONS BOT,menu-only-no-freetext,Re:amaze,
encephalitis.info,NO BOT,not-probed,,
enduraroses.com,NO BOT,no-chat-widget,,
endurasport.com,NO BOT,no-chat-widget,,
envii.co.uk,NO BOT,no-chat-widget,Tidio,
epilepsy.org.uk,NO BOT,not-probed,,
epilepsyscotland.org.uk,NO BOT,no-chat-widget,,
equestriansurfaces.co.uk,NO BOT,not-probed,,
erdem.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Thank you for contacting ERDEM customer service. I’m sorry, but I’m unable to locate your order details at the moment. Please log in so we can check your order status for you. Please let me know if you have any further questions Kindest regards, ERDEM customer care team Verify order details"
erfelectrical.co.uk,NO BOT,not-probed,,
escada.com,NO BOT,no-chat-widget,,
escapelive.co.uk,NO BOT,not-probed,,
escentric.com,TEXT BOT,no-response-human-queue,Zendesk,
esperhq.com,NO BOT,not-probed,,
estellabartlett.com,NO BOT,no-chat-widget,,
eternaltools.com,NO BOT,no-chat-widget,,
ethical-nutrition.com,NO BOT,no-chat-widget,,
eurocross.co.uk,BUTTONS BOT,menu-only-no-freetext,,
eva.ai,NO BOT,not-probed,,
eventmasters.co.uk,NO BOT,not-probed,,
evermade.com,BUTTONS BOT,email-gate-to-human,Gorgias,"Evermade Bot Thanks for reaching out! We will be with you soon. Leave us your email , Automated · Just now"
eversfieldorganic.co.uk,NO BOT,no-chat-widget,,
everythingdinosaur.com,NO BOT,not-probed,,
everythingpadel.co.uk,NO BOT,not-probed,,
evolutionpowertools.com,NO BOT,no-chat-widget,,
exhalecoffee.com,NO BOT,no-chat-widget,Gorgias,
expeditioncampers.co.uk,NO BOT,not-probed,,
explodingbakery.com,NO BOT,no-chat-widget,,
exseedhealth.com,NO BOT,not-probed,,
f2medicalsupplies.com,NO BOT,not-probed,,
faber.co.uk,NO BOT,no-chat-widget,,
faberge.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
facetheory.com,BUTTONS BOT,menu-only-no-freetext,Re:amaze,
fairyloot.com,NO BOT,no-chat-widget,,
faithinnature.co.uk,BUTTONS BOT,menu-only-no-freetext,,
falconenamelware.com,NO BOT,no-chat-widget,,
farer.com,NO BOT,no-chat-widget,,
farmerj.com,NO BOT,not-probed,,
farmhouse-biscuits.co.uk,NO BOT,not-probed,,
fashioneyewear.com,BUTTONS BOT,menu-only-no-freetext,Help Scout,
fearswatches.com,NO BOT,no-chat-widget,,
fencingsuppliers.co.uk,NO BOT,not-probed,,
fenrircanineleaders.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
fentimans.com,NO BOT,no-chat-widget,,
fgr.co.uk,NO BOT,not-probed,,
field-fare.com,NO BOT,not-probed,,
fielddoctor.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, but to check your order status you’ll need to log in first. Verify order details"
finecheese.co.uk,NO BOT,no-chat-widget,,
finefoodspecialist.co.uk,NO BOT,no-chat-widget,Gorgias,
finisterre.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, thanks for getting in touch. I’m sorry, but to check where your order is, you’ll need to log in so we can access your order details. Once you’re signed in, we can look into the latest status for you. We hope this helps. Verify order details"
finnmarksauna.com,NO BOT,no-chat-widget,,
firesealsdirect.co.uk,NO BOT,not-probed,,
firmastella.com,NO BOT,not-probed,,
firstmats.co.uk,NO BOT,no-chat-widget,,
firsttunnels.co.uk,NO BOT,not-probed,,
fishingtv.com,BUTTONS BOT,menu-only-no-freetext,Tawk.to,
fiximer.co.uk,NO BOT,not-probed,,
flareaudio.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can check your order status and tracking details for you. Once you’re signed in, we’ll take a look right away. Verify order details"
flatspot.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
flavoractiv.com,NO BOT,not-probed,,
flawlesslashesbyloreta.com,BUTTONS BOT,menu-only-no-freetext,,
fleetmaxxsolutions.co.uk,NO BOT,not-probed,,
fleminghowland.com,NO BOT,not-probed,,
flogas.co.uk,NO BOT,not-probed,,
floodprotectionsolutions.co.uk,NO BOT,not-probed,,
floracurl.com,NO BOT,no-chat-widget,Gorgias,
floralstreet.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so I can check your order details and tracking for you. Verify order details"
florislondon.com,NO BOT,no-chat-widget,,
flybubble.com,NO BOT,no-chat-widget,,
flysportsuk.com,BUTTONS BOT,menu-only-no-freetext,,
fnatic.com,NO BOT,not-probed,,
footpatrol.com,NO BOT,no-chat-widget,,
forartssake.com,NO BOT,not-probed,,
foreststone.uk,NO BOT,not-probed,,
formnutrition.com,NO BOT,not-probed,,
forthglade.com,NO BOT,no-chat-widget,,
fortyclothing.com,BUTTONS BOT,menu-only-no-freetext,,
fourteenacre.co.uk,NO BOT,not-probed,,
fpa.org.uk,BUTTONS BOT,menu-only-no-freetext,,
fragrancedubois.com,NO BOT,no-chat-widget,,
freesoul.com,NO BOT,no-chat-widget,,
freetbarefoot.com,NO BOT,no-chat-widget,,
frescobolcarioca.com,NO BOT,no-chat-widget,,
freshlyfermented.co.uk,NO BOT,not-probed,,
freya-lillie.com,NO BOT,not-probed,,
frovi.co.uk,NO BOT,not-probed,,
fruitybooty.co.uk,NO BOT,no-chat-widget,,
function18.com,BUTTONS BOT,menu-only-no-freetext,Answer AI,
furniss-foods.co.uk,NO BOT,no-chat-widget,,
furnitureonline.co.uk,NO BOT,other-reply,LiveChat,Hello. How may I help you?
futuresfins.com,NO BOT,not-probed,,
gardenersdream.co.uk,NO BOT,no-chat-widget,,
gardening-naturally.com,NO BOT,no-chat-widget,,
garneteducation.com,NO BOT,not-probed,,
garrard.com,NO BOT,no-chat-widget,,
gauchorestaurants.com,NO BOT,no-chat-widget,,
geehair.com,NO BOT,no-chat-widget,,
geoffreyparker.com,NO BOT,no-chat-widget,,
georgieporgiespuddings.co.uk,NO BOT,no-chat-widget,,
geraldgiles.co.uk,NO BOT,not-probed,,
getabearhug.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"I’m sorry, I can’t view your order details until you’re logged in. Please sign in so we can check your latest order and let you know where it is 👍 Verify order details"
getfussy.com,NO BOT,no-chat-widget,Gorgias,
getmorevits.com,NO BOT,no-chat-widget,,
gibsonsgames.co.uk,NO BOT,no-chat-widget,,
gievesandhawkes.com,NO BOT,no-chat-widget,,
gillianarnold.com,NO BOT,no-chat-widget,,
ginetta.com,NO BOT,not-probed,,
girlinmind.com,NO BOT,no-chat-widget,,
globalwatchshop.co.uk,NO BOT,not-probed,,
globe-trotter.com,NO BOT,no-chat-widget,Gorgias,
gloverall.com,NO BOT,no-chat-widget,,
glowforitshop.com,NO BOT,no-chat-widget,,
gobanya.co.uk,NO BOT,not-probed,,
goldenageoftennis.com,NO BOT,no-chat-widget,,
golfclubs4cash.co.uk,NO BOT,not-probed,,
golfswingsystems.co.uk,NO BOT,not-probed,,
goodf.co.uk,NO BOT,not-probed,,
goodhemp.com,NO BOT,not-probed,,
gooseandganderltd.com,NO BOT,no-chat-widget,,
gooutdoors.co.uk,NO BOT,no-chat-widget,,
gozney.com,NO BOT,other-reply,Zendesk,"Ask me a question and I'll find the answer for you. Here are some articles that may help: I have only received part of my order If you have ordered multiple items, it may be that your order is shipped in separate parts. This ... My delivery is lost, what should I do? We're really sorry to hear that your delivery is lost! Please reach out to our Customer Experienc... I haven't received a tracking number or link for my delivery, ... Once your order has been dispatched, you should receive an email for every shipment which contain... You can ask another question. Or you can get in touch. Get in touch"
gplan.co.uk,NO BOT,not-probed,,
grainandframe.com,NO BOT,not-probed,,
grandpier.co.uk,NO BOT,not-probed,,
grangers.co.uk,NO BOT,no-chat-widget,,
greatglendistillery.co.uk,NO BOT,no-chat-widget,,
greatnorthairambulance.co.uk,NO BOT,not-probed,,
greatscotscotland.com,BUTTONS BOT,menu-only-no-freetext,Freshchat,
greavessports.com,NO BOT,no-chat-widget,,
greenblue.com,NO BOT,not-probed,,
greendoors.co.uk,NO BOT,not-probed,,
greenduckbrewery.co.uk,NO BOT,not-probed,,
grenade.com,TEXT BOT,no-response-human-queue,Zendesk,
grind.co.uk,NO BOT,no-chat-widget,Gorgias,
groomi.co.uk,BUTTONS BOT,menu-only-no-freetext,,
growingrevolution.com,NO BOT,not-probed,,
growingsmiles.co.uk,NO BOT,not-probed,,
growtropicals.com,BUTTONS BOT,menu-only-no-freetext,,
grunwerg.co.uk,NO BOT,no-chat-widget,,
gtomega.com,NO BOT,no-chat-widget,,
gudesserts.com,NO BOT,no-chat-widget,,
guthrie-ghani.co.uk,NO BOT,no-chat-widget,,
guttercrest.co.uk,NO BOT,not-probed,,
hackneychurchbrew.co,NO BOT,blocked-not-probed,,
hair-development.com,NO BOT,no-chat-widget,,
hairburst.com,NO BOT,no-chat-widget,Gorgias,
hairguard.com,NO BOT,not-probed,,
hairsyrup.co.uk,NO BOT,no-chat-widget,,
halo.co.uk,NO BOT,not-probed,,
hambletonbrewery.co.uk,NO BOT,not-probed,,
hampers.com,BUTTONS BOT,menu-only-no-freetext,Tawk.to,typically reply in a few minutes
handmadechristmasco.com,NO BOT,not-probed,,
handmadeinbritain.co.uk,NO BOT,no-chat-widget,Zendesk,
hanexsolidsurface.co.uk,NO BOT,not-probed,,
hanxofficial.com,NO BOT,no-chat-widget,,
happygentleman.com,NO BOT,no-chat-widget,Intercom,
harberlondon.com,NO BOT,no-chat-widget,,
harbourlifestyle.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry you’re still waiting for your order. Please log in so we can check the latest status for you, and we’ll take a look as soon as you’re authenticated. Is there anything else you’d like help with? 🙂 Verify order details"
hardsoftcomputers.co.uk,NO BOT,not-probed,,
harlequinfloors.com,NO BOT,blocked-not-probed,,
harleystreetskinclinic.com,NO BOT,not-probed,,
harpercollins.co.uk,NO BOT,no-chat-widget,,
harrisdistillery.com,NO BOT,blocked-not-probed,,
harrisoncameras.co.uk,BUTTONS BOT,menu-only-no-freetext,,
harrysoflondon.com,TEXT BOT,canned-wait-time,Gorgias,Typically replies in a few minutes Harrys London Cu
harveymaria.com,NO BOT,not-probed,,
hayleymenzies.com,NO BOT,no-chat-widget,Zendesk,
haypigs.com,BUTTONS BOT,menu-only-no-freetext,,
hazchemsafety.com,TEXT BOT,no-response-human-queue,Tawk.to,
healeyscyder.co.uk,NO BOT,not-probed,,
healf.com,NO BOT,no-chat-widget,,
healthandher.com,NO BOT,other-reply,Chatra,"2 messages unsent, please introduce yourself Please introduce yourself to deliver your message. We will get back to you as soon as possible. Name"
heartmath.co.uk,NO BOT,not-probed,,
heckfood.co.uk,NO BOT,no-chat-widget,,
hedon.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
heights.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
